#    x           mean          stddev
   50.00           3.56           0.11
  100.00           5.07           0.17
  150.00           6.46           0.15
  200.00           7.68           0.14
  250.00           8.71           0.25
  300.00           9.72           0.28
  350.00          10.64           0.26
  400.00          11.47           0.32
  450.00          12.29           0.39
  500.00          13.04           0.50
  550.00          13.79           0.49
  600.00          14.50           0.49
  650.00          15.22           0.51
  700.00          15.91           0.55
  750.00          16.60           0.53
  800.00          17.22           0.54
  850.00          17.89           0.54
  900.00          18.48           0.53
  950.00          19.08           0.54
 1000.00          19.70           0.55
 1050.00          20.33           0.61
 1100.00          20.92           0.62
 1150.00          21.48           0.60
 1200.00          22.02           0.60
 1250.00          22.59           0.60
 1300.00          23.17           0.65
 1350.00          23.72           0.67
 1400.00          24.27           0.66
 1450.00          24.82           0.66
 1500.00          25.34           0.66
 1550.00          25.82           0.69
 1600.00          26.33           0.71
 1650.00          26.79           0.71
 1700.00          27.26           0.73
 1750.00          27.76           0.72
 1800.00          28.25           0.69
 1850.00          28.72           0.68
 1900.00          29.23           0.69
 1950.00          29.69           0.74
 2000.00          30.16           0.78
 2050.00          30.60           0.75
 2100.00          31.07           0.77
 2150.00          31.55           0.77
 2200.00          32.00           0.77
 2250.00          32.48           0.80
 2300.00          32.96           0.78
 2350.00          33.44           0.77
 2400.00          33.89           0.73
 2450.00          34.33           0.71
 2500.00          34.82           0.72
 2550.00          35.30           0.75
 2600.00          35.73           0.72
 2650.00          36.19           0.74
 2700.00          36.62           0.74
 2750.00          37.04           0.77
 2800.00          37.49           0.75
 2850.00          37.93           0.78
 2900.00          38.36           0.75
 2950.00          38.79           0.77
 3000.00          39.19           0.78
 3050.00          39.65           0.79
 3100.00          40.01           0.80
 3150.00          40.47           0.77
 3200.00          40.90           0.73
 3250.00          41.31           0.73
 3300.00          41.69           0.71
 3350.00          42.06           0.72
 3400.00          42.47           0.75
 3450.00          42.87           0.73
 3500.00          43.26           0.75
 3550.00          43.69           0.78
 3600.00          44.12           0.79
 3650.00          44.55           0.80
 3700.00          44.95           0.81
 3750.00          45.38           0.83
 3800.00          45.78           0.81
 3850.00          46.14           0.79
 3900.00          46.53           0.80
 3950.00          46.89           0.81
 4000.00          47.30           0.80
 4050.00          47.68           0.82
 4100.00          48.07           0.82
 4150.00          48.46           0.81
 4200.00          48.86           0.79
 4250.00          49.25           0.78
 4300.00          49.64           0.76
 4350.00          50.01           0.76
 4400.00          50.36           0.75
 4450.00          50.73           0.74
 4500.00          51.13           0.76
 4550.00          51.52           0.78
 4600.00          51.91           0.80
 4650.00          52.28           0.79
 4700.00          52.63           0.84
 4750.00          52.99           0.83
 4800.00          53.36           0.83
 4850.00          53.74           0.84
 4900.00          54.14           0.87
 4950.00          54.51           0.83
 5000.00          54.91           0.85
