#    x           mean          stddev
   50.00           9.77           0.34
  100.00          14.45           0.48
  150.00          18.75           1.24
  200.00          22.37           1.28
  250.00          25.90           3.19
  300.00          28.18           2.05
  350.00          30.27           1.87
  400.00          32.80           2.28
  450.00          34.59           2.33
  500.00          36.16           2.19
  550.00          38.69           2.45
  600.00          40.54           0.93
  650.00          43.26           0.98
  700.00          45.20           1.39
  750.00          47.12           0.94
  800.00          48.43           1.20
  850.00          50.52           1.25
  900.00          51.92           1.39
  950.00          54.40           1.59
 1000.00          56.59           0.92
 1050.00          58.37           1.29
 1100.00          60.47           2.77
 1150.00          62.07           2.29
 1200.00          63.83           1.97
 1250.00          65.80           2.11
 1300.00          68.09           2.44
 1350.00          68.94           2.60
 1400.00          70.53           2.06
 1450.00          72.15           1.74
 1500.00          74.37           1.95
 1550.00          76.18           2.49
 1600.00          77.66           2.32
 1650.00          79.03           2.24
 1700.00          80.27           2.05
 1750.00          81.74           2.42
 1800.00          83.80           3.29
 1850.00          85.16           4.11
 1900.00          87.09           5.26
 1950.00          88.70           4.89
 2000.00          90.92           6.70
 2050.00          92.37           7.12
 2100.00          93.81           7.43
 2150.00          95.28           7.45
 2200.00          97.49           7.04
 2250.00          98.91           6.78
 2300.00         101.32           7.37
 2350.00         104.11           7.85
 2400.00         106.29           8.92
 2450.00         107.63           8.79
 2500.00         109.70           8.77
 2550.00         111.43           9.42
 2600.00         112.15           9.55
 2650.00         113.13           9.82
 2700.00         114.81          10.09
 2750.00         116.15          10.37
 2800.00         117.61          10.81
 2850.00         118.63          10.72
 2900.00         120.06          10.58
 2950.00         120.79          10.22
 3000.00         122.82          10.54
 3050.00         124.68          11.17
 3100.00         125.95          11.74
 3150.00         128.28          11.85
 3200.00         130.47          12.88
 3250.00         132.45          13.24
 3300.00         133.09          13.04
 3350.00         134.28          13.53
 3400.00         136.47          13.46
 3450.00         137.03          13.20
 3500.00         138.14          12.57
 3550.00         139.20          12.83
 3600.00         140.43          12.91
 3650.00         141.65          13.68
 3700.00         143.19          14.14
 3750.00         144.27          14.18
 3800.00         145.12          14.29
 3850.00         146.97          14.35
 3900.00         148.04          14.53
 3950.00         148.80          14.86
 4000.00         149.97          15.31
 4050.00         151.66          15.98
 4100.00         152.82          16.62
 4150.00         153.55          16.49
 4200.00         155.36          17.27
 4250.00         157.01          17.92
 4300.00         158.81          18.42
 4350.00         160.02          18.81
 4400.00         161.17          18.84
 4450.00         161.54          19.06
 4500.00         164.26          20.51
 4550.00         165.98          20.65
 4600.00         167.56          20.50
 4650.00         168.57          20.63
 4700.00         170.91          21.78
 4750.00         172.23          21.90
 4800.00         173.36          21.95
 4850.00         176.14          22.43
 4900.00         178.04          23.13
 4950.00         178.91          23.11
 5000.00         180.73          23.84
